,NAICSCode, ProjectCountyName , JobsReported , CurrentApprovalAmount , ForgivenessAmount ,business_type,% of loan forgiven
401,424610, 3 , 21 ," 336,714 "," 316,537 ",Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,94%
593,532120, 5 , 21 ," 231,255 ", -   ,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",0%
691,562991, 5 , 21 ," 207,238 "," 120,319 ",Septic Tank and Related Services,58%
829,921110, 2 , 21 ," 141,532 "," 121,606 ",Executive Offices,86%
813,812921, 3 , 21 ," 133,933 "," 59,795 ",Photofinishing Laboratories (except One-Hour),45%
671,561599, 6 , 21 ," 105,345 ", -   ,All Other Travel Arrangement and Reservation Services,0%
232,332911, 3 , 20 ," 521,905 "," 23,051 ",Industrial Valve Manufacturing,4%
162,325220, 2 , 20 ," 312,424 "," 82,138 ",Artificial and Synthetic Fibers and Filaments Manufacturing,26%
841,926110, 3 , 20 ," 301,728 "," 25,512 ",Administration of General Economic Programs,8%
265,333992, 5 , 20 ," 200,387 "," 103,973 ",Welding and Soldering Equipment Manufacturing,52%
307,336310, 4 , 20 ," 163,494 "," 28,288 ",Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,17%
95,311423, 2 , 20 ," 145,797 ", -   ,Dried and Dehydrated Food Manufacturing,0%
522,511130, 8 , 20 ," 134,221 "," 90,017 ",Book Publishers,67%
533,512290, 6 , 20 ," 61,941 "," 27,384 ",Other Sound Recording Industries,44%
209,332114, 1 , 19 ," 275,790 ", -   ,Custom Roll Forming,0%
799,811420, 12 , 19 ," 162,141 ", -   ,Reupholstery and Furniture Repair,0%
391,424430, 1 , 19 ," 116,315 ", -   ,Dairy Product (except Dried or Canned) Merchant Wholesalers,0%
751,711212, 4 , 19 ," 107,251 ", -   ,Racetracks,0%
282,334510, 3 , 18 ," 279,126 "," 236,191 ",Electromedical and Electrotherapeutic Apparatus Manufacturing,85%
205,331511, 1 , 18 ," 244,300 "," 246,268 ",Iron Foundries,101%
311,336350, 3 , 18 ," 213,737 "," 135,962 ",Motor Vehicle Transmission and Power Train Parts Manufacturing,64%
537,517311, 1 , 18 ," 212,500 "," 214,369 ",Wired Telecommunications Carriers,101%
359,423440, 5 , 18 ," 205,447 "," 37,192 ",Other Commercial Equipment Merchant Wholesalers,18%
320,336999, 11 , 18 ," 201,985 ", -   ,All Other Transportation Equipment Manufacturing,0%
236,332994, 2 , 18 ," 194,497 "," 195,963 ","Small Arms, Ordnance, and Ordnance Accessories Manufacturing",101%
633,541713, 5 , 18 ," 181,193 "," 103,932 ",Research and Development in Nanotechnology,57%
634,541713, 5 , 18 ," 181,193 "," 103,932 ",Research and Development in Nanotechnology,57%
298,335314, 1 , 18 ," 149,900 ", -   ,Relay and Industrial Control Manufacturing,0%
577,525120, 5 , 17 ," 270,258 ", -   ,Health and Welfare Funds,0%
328,337214, 3 , 17 ," 251,939 ", -   ,Office Furniture (except Wood) Manufacturing,0%
216,332321, 1 , 17 ," 192,600 "," 194,125 ",Metal Window and Door Manufacturing,101%
149,322220, 2 , 17 ," 164,128 "," 129,853 ",Paper Bag and Coated and Treated Paper Manufacturing,79%
49,221115, 2 , 17 ," 112,907 "," 81,860 ",Wind Electric Power Generation,73%
106,311821, 3 , 17 ," 65,889 "," 29,901 ",Cookie and Cracker Manufacturing,45%
283,334511, 4 , 16 ," 218,645 "," 101,195 ","Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",46%
207,331529, 1 , 16 ," 208,000 ", -   ,Other Nonferrous Metal Foundries (except Die-Casting),0%
301,335929, 1 , 16 ," 163,730 "," 164,672 ",Other Communication and Energy Wire Manufacturing,101%
124,313310, 4 , 16 ," 138,018 ", -   ,Textile and Fabric Finishing Mills,0%
343,339992, 2 , 16 ," 80,900 "," 6,136 ",Musical Instrument Manufacturing,8%
102,311710, 1 , 15 ," 207,900 "," 209,056 ",Seafood Product Preparation and Packaging,101%
566,523991, 3 , 15 ," 177,423 "," 160,780 ","Trust, Fiduciary, and Custody Activities",91%
243,333132, 2 , 15 ," 144,100 "," 124,199 ",Oil and Gas Field Machinery and Equipment Manufacturing,86%
300,335912, 1 , 15 ," 74,500 ", -   ,Primary Battery Manufacturing,0%
279,334417, 1 , 14 ," 221,402 "," 223,179 ",Electronic Connector Manufacturing,101%
529,512191, 5 , 14 ," 219,184 "," 13,937 ",Teleproduction and Other Postproduction Services,6%
262,333923, 1 , 14 ," 213,202 ", -   ,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",0%
485,481219, 5 , 14 ," 172,900 "," 15,158 ",Other Nonscheduled Air Transportation,9%
136,316210, 4 , 14 ," 140,376 "," 99,531 ",Footwear Manufacturing,71%
185,326220, 1 , 14 ," 106,480 ", -   ,Rubber and Plastics Hoses and Belting Manufacturing,0%
122,313210, 2 , 14 ," 66,463 "," 50,890 ",Broadwoven Fabric Mills,77%
838,923130, 1 , 13 ," 199,480 ", -   ,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",0%
250,333414, 1 , 13 ," 150,000 "," 150,982 ",Heating Equipment (except Warm Air Furnaces) Manufacturing,101%
310,336340, 1 , 12 ," 156,800 "," 158,286 ",Motor Vehicle Brake System Manufacturing,101%
659,561410, 3 , 12 ," 139,241 "," 6,848 ",Document Preparation Services,5%
524,511191, 2 , 12 ," 114,355 "," 98,886 ",Greeting Card Publishers,86%
797,811411, 5 , 12 ," 109,436 "," 28,188 ",Home and Garden Equipment Repair and Maintenance,26%
115,312111, 2 , 12 ," 83,825 "," 43,818 ",Soft Drink Manufacturing,52%
531,512230, 9 , 12 ," 77,147 ", -   ,Music Publishers,0%
837,923120, 2 , 12 ," 64,400 "," 49,869 ",Administration of Public Health Programs,77%
643,541870, 6 , 12 ," 57,628 ", -   ,Advertising Material Distribution Services,0%
8,111331, 1 , 12 ," 54,445 ", -   ,Apple Orchards,0%
182,326160, 1 , 11 ," 156,300 "," 157,563 ",Plastics Bottle Manufacturing,101%
382,424110, 5 , 11 ," 117,367 "," 48,134 ",Printing and Writing Paper Merchant Wholesalers,41%
128,314910, 2 , 11 ," 111,033 "," 91,186 ",Textile Bag and Canvas Mills,82%
845,926150, 3 , 11 ," 94,452 ", -   ,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",0%
40,212210, 1 , 11 ," 83,732 ", -   ,Iron Ore Mining,0%
132,315220, 3 , 11 ," 76,047 "," 73,688 ",Men's and Boys' Cut and Sew Apparel Manufacturing,97%
319,336612, 3 , 11 ," 67,932 "," 9,047 ",Boat Building,13%
640,541840, 4 , 11 ," 58,032 ", -   ,Media Representatives,0%
6,111211, 2 , 11 ," 37,637 ", -   ,Potato Farming,0%
234,332913, 4 , 10 ," 186,966 ", -   ,Plumbing Fixture Fitting and Trim Manufacturing,0%
486,482111, 1 , 10 ," 153,200 ", -   ,Line-Haul Railroads,0%
744,624310, 4 , 10 ," 132,997 "," 57,183 ",Vocational Rehabilitation Services,43%
28,113310, 6 , 10 ," 130,029 "," 20,184 ",Logging,16%
843,926130, 1 , 10 ," 93,300 "," 93,809 ","Regulation and Administration of Communications, Electric, Gas, and Other Utilities",101%
385,424210, 4 , 10 ," 82,517 "," 3,456 ",Drugs and Druggists' Sundries Merchant Wholesalers,4%
108,311911, 1 , 10 ," 72,250 ", -   ,Roasted Nuts and Peanut Butter Manufacturing,0%
47,221111, 3 , 10 ," 69,658 "," 62,048 ",Hydroelectric Power Generation,89%
361,423460, 4 , 10 ," 49,737 "," 39,056 ",Ophthalmic Goods Merchant Wholesalers,79%
119,312130, 4 , 10 ," 42,432 "," 11,794 ",Wineries,28%
399,424520, 1 , 9 ," 102,200 ", -   ,Livestock Merchant Wholesalers,0%
507,488190, 4 , 9 ," 84,627 "," 67,141 ",Other Support Activities for Air Transportation,79%
340,339940, 2 , 9 ," 65,000 "," 50,501 ",Office Supplies (except Paper) Manufacturing,78%
697,611420, 2 , 9 ," 59,221 "," 56,807 ",Computer Training,96%
163,325311, 2 , 8 ," 168,018 "," 96,306 ",Nitrogenous Fertilizer Manufacturing,57%
200,331221, 1 , 8 ," 111,672 "," 104,266 ",Rolled Steel Shape Manufacturing,93%
274,334290, 2 , 8 ," 104,215 "," 94,480 ",Other Communications Equipment Manufacturing,91%
290,335110, 2 , 8 ," 97,717 ", -   ,Electric Lamp Bulb and Part Manufacturing,0%
483,481112, 2 , 8 ," 85,699 ", -   ,Scheduled Freight Air Transportation,0%
348,423130, 1 , 8 ," 85,000 "," 85,703 ",Tire and Tube Merchant Wholesalers,101%
27,113210, 2 , 8 ," 72,565 "," 36,880 ",Forest Nurseries and Gathering of Forest Products,51%
256,333519, 1 , 8 ," 71,700 "," 72,437 ",Rolling Mill and Other Metalworking Machinery Manufacturing,101%
800,811430, 6 , 8 ," 65,835 ", -   ,Footwear and Leather Goods Repair,0%
138,316998, 2 , 8 ," 41,342 "," 29,375 ",All Other Leather Good and Allied Product Manufacturing,71%
34,115114, 1 , 7 ," 208,397 "," 194,109 ",Postharvest Crop Activities (except Cotton Ginning),93%
831,921130, 7 , 7 ," 112,594 "," 33,077 ",Public Finance Activities,29%
700,611512, 1 , 7 ," 92,300 "," 92,982 ",Flight Training,101%
51,221122, 3 , 7 ," 88,335 "," 72,297 ",Electric Power Distribution,82%
242,333131, 1 , 7 ," 73,300 "," 66,712 ",Mining Machinery and Equipment Manufacturing,91%
125,313320, 1 , 7 ," 66,330 ", -   ,Fabric Coating Mills,0%
190,327212, 2 , 7 ," 64,525 "," 57,567 ",Other Pressed and Blown Glass and Glassware Manufacturing,89%
133,315240, 3 , 7 ," 63,400 "," 23,522 ","Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",37%
579,525910, 2 , 7 ," 57,881 "," 58,244 ",Open-End Investment Funds,101%
30,114210, 1 , 7 ," 52,457 ", -   ,Hunting and Trapping,0%
833,922110, 3 , 7 ," 47,700 "," 17,420 ",Courts,37%
324,337125, 3 , 7 ," 42,256 "," 11,661 ",Household Furniture (except Wood and Metal) Manufacturing,28%
329,337215, 1 , 6 ," 69,800 ", -   ,"Showcase, Partition, Shelving, and Locker Manufacturing",0%
544,519120, 2 , 6 ," 41,427 "," 11,509 ",Libraries and Archives,28%
284,334512, 1 , 6 ," 38,625 ", -   ,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",0%
87,311211, 1 , 6 ," 33,098 "," 33,400 ",Flour Milling,101%
94,311421, 2 , 6 ," 22,860 ", -   ,Fruit and Vegetable Canning,0%
436,445220, 1 , 6 ," 15,900 "," 16,043 ",Fish and Seafood Markets,101%
156,324191, 1 , 5 ," 145,717 ", -   ,Petroleum Lubricating Oil and Grease Manufacturing,0%
600,532411, 5 , 5 ," 96,069 ", -   ,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",0%
188,327110, 3 , 5 ," 83,832 ", 504 ,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",1%
403,424710, 1 , 5 ," 68,250 "," 63,650 ",Petroleum Bulk Stations and Terminals,93%
32,115112, 2 , 5 ," 67,109 ", -   ,"Soil Preparation, Planting, and Cultivating",0%
257,333611, 2 , 5 ," 54,780 "," 50,506 ",Turbine and Turbine Generator Set Units Manufacturing,92%
731,622310, 4 , 5 ," 47,997 "," 12,298 ",Specialty (except Psychiatric and Substance Abuse) Hospitals,26%
173,325910, 1 , 5 ," 44,507 "," 39,748 ",Printing Ink Manufacturing,89%
539,517410, 3 , 5 ," 42,137 ", -   ,Satellite Telecommunications,0%
303,336111, 1 , 5 ," 39,795 "," 40,078 ",Automobile Manufacturing,101%
85,311111, 3 , 5 ," 38,432 "," 15,917 ",Dog and Cat Food Manufacturing,41%
294,335210, 1 , 5 ," 33,323 "," 33,574 ",Small Electrical Appliance Manufacturing,101%
498,485119, 1 , 5 ," 30,000 ", -   ,Other Urban Transit Systems,0%
127,314120, 1 , 5 ," 4,375 ", -   ,Curtain and Linen Mills,0%
202,331315, 1 , 4 ," 94,424 "," 95,110 ","Aluminum Sheet, Plate, and Foil Manufacturing",101%
496,485112, 1 , 4 ," 67,633 ", -   ,Commuter Rail Systems,0%
560,523130, 2 , 4 ," 59,500 "," 38,984 ",Commodity Contracts Dealing,66%
137,316992, 4 , 4 ," 55,808 ", -   ,Women's Handbag and Purse Manufacturing,0%
318,336611, 2 , 4 ," 50,423 "," 29,768 ",Ship Building and Repairing,59%
322,337121, 3 , 4 ," 50,134 "," 17,079 ",Upholstered Household Furniture Manufacturing,34%
464,452210, 3 , 4 ," 46,226 ", -   ,Department Stores,0%
465,452210, 3 , 4 ," 46,226 ", -   ,Department Stores,0%
165,325411, 1 , 4 ," 41,370 ", -   ,Medicinal and Botanical Manufacturing,0%
514,491110, 2 , 4 ," 39,733 ", -   ,Postal Service,0%
15,111940, 4 , 4 ," 35,077 ", -   ,Hay Farming,0%
293,335129, 2 , 4 ," 34,833 ", -   ,Other Lighting Equipment Manufacturing,0%
309,336330, 2 , 4 ," 33,960 "," 6,950 ",Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,20%
530,512199, 4 , 4 ," 33,549 "," 4,820 ",Other Motion Picture and Video Industries,14%
196,327993, 1 , 4 ," 29,577 "," 29,751 ",Mineral Wool Manufacturing,101%
88,311213, 2 , 4 ," 28,440 "," 7,678 ",Malt Manufacturing,27%
123,313220, 2 , 4 ," 26,340 ", -   ,Narrow Fabric Mills and Schiffli Machine Embroidery,0%
213,332311, 2 , 4 ," 25,877 "," 12,545 ",Prefabricated Metal Building and Component Manufacturing,48%
339,339930, 2 , 4 ," 25,010 ", -   ,"Doll, Toy, and Game Manufacturing",0%
126,314110, 1 , 4 ," 20,300 ", -   ,Carpet and Rug Mills,0%
372,423820, 2 , 4 ," 19,265 "," 14,397 ",Farm and Garden Machinery and Equipment Merchant Wholesalers,75%
519,493190, 2 , 4 ," 11,195 "," 7,660 ",Other Warehousing and Storage,68%
140,321219, 1 , 4 ," 10,005 ", -   ,Reconstituted Wood Product Manufacturing,0%
553,522293, 3 , 3 ," 62,499 ", -   ,International Trade Financing,0%
512,488991, 1 , 3 ," 52,394 "," 52,772 ",Packing and Crating,101%
400,424590, 3 , 3 ," 50,565 ", -   ,Other Farm Product Raw Material Merchant Wholesalers,0%
674,561613, 1 , 3 ," 45,400 "," 45,696 ",Armored Car Services,101%
536,515210, 3 , 3 ," 44,529 ", -   ,Cable and Other Subscription Programming,0%
392,424440, 1 , 3 ," 41,072 ", -   ,Poultry and Poultry Product Merchant Wholesalers,0%
17,112111, 3 , 3 ," 39,052 ", -   ,Beef Cattle Ranching and Farming,0%
463,451212, 3 , 3 ," 35,529 ", -   ,News Dealers and Newsstands,0%
548,522190, 1 , 3 ," 31,932 ", -   ,Other Depository Credit Intermediation,0%
547,522130, 1 , 3 ," 30,000 ", -   ,Credit Unions,0%
11,111411, 1 , 3 ," 28,085 ", -   ,Mushroom Production,0%
168,325414, 1 , 3 ," 26,265 ", -   ,Biological Product (except Diagnostic) Manufacturing,0%
121,312230, 2 , 3 ," 26,147 ", -   ,Tobacco Manufacturing,0%
24,112910, 1 , 3 ," 25,302 "," 25,495 ",Apiculture,101%
35,115115, 1 , 3 ," 25,043 ", -   ,Farm Labor Contractors and Crew Leaders,0%
36,115116, 2 , 3 ," 23,607 "," 22,645 ",Farm Management Services,96%
344,339994, 1 , 3 ," 23,506 "," 23,706 ","Broom, Brush, and Mop Manufacturing",101%
356,423410, 1 , 3 ," 14,975 "," 15,094 ",Photographic Equipment and Supplies Merchant Wholesalers,101%
9,111332, 1 , 3 ," 5,900 ", -   ,Grape Vineyards,0%
170,325611, 2 , 2 ," 41,667 ", -   ,Soap and Other Detergent Manufacturing,0%
46,213113, 2 , 2 ," 41,666 ", -   ,Support Activities for Coal Mining,0%
164,325320, 2 , 2 ," 41,666 ", -   ,Pesticide and Other Agricultural Chemical Manufacturing,0%
22,112420, 2 , 2 ," 32,492 "," 11,723 ",Goat Farming,36%
4,111160, 2 , 2 ," 31,582 ", -   ,Rice Farming,0%
840,925120, 2 , 2 ," 28,889 "," 14,546 ",Administration of Urban Planning and Community and Rural Development,50%
578,525190, 2 , 2 ," 28,800 ", -   ,Other Insurance Funds,0%
263,333924, 2 , 2 ," 28,522 ", -   ,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",0%
844,926140, 2 , 2 ," 26,500 "," 18,018 ",Regulation of Agricultural Marketing and Commodities,68%
335,339115, 1 , 2 ," 22,425 "," 22,533 ",Ophthalmic Goods Manufacturing,100%
105,311813, 2 , 2 ," 22,372 ", -   ,"Frozen Cakes, Pies, and Other Pastries Manufacturing",0%
179,326130, 1 , 2 ," 19,800 "," 19,998 ","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",101%
157,324199, 2 , 2 ," 18,915 ", -   ,All Other Petroleum and Coal Products Manufacturing,0%
117,312113, 1 , 2 ," 17,875 "," 18,022 ",Ice Manufacturing,101%
20,112340, 1 , 2 ," 17,760 ", -   ,Poultry Hatcheries,0%
221,332431, 2 , 2 ," 16,513 ", -   ,Metal Can Manufacturing,0%
286,334515, 1 , 2 ," 16,125 ", -   ,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,0%
562,523210, 2 , 2 ," 11,628 "," 5,867 ",Securities and Commodity Exchanges,50%
508,488210, 1 , 2 ," 10,000 "," 10,080 ",Support Activities for Rail Transportation,101%
595,532281, 1 , 2 ," 8,810 ", -   ,Formal Wear and Costume Rental,0%
31,115111, 1 , 2 ," 7,500 ", -   ,Cotton Ginning,0%
688,562219, 2 , 2 ," 6,216 "," 2,659 ",Other Nonhazardous Waste Treatment and Disposal,43%
2,111140, 2 , 2 ," 4,416 ", -   ,Wheat Farming,0%
150,322230, 1 , 2 ," 3,800 ", -   ,Stationery Product Manufacturing,0%
312,336360, 1 , 1 ," 33,956 ", -   ,Motor Vehicle Seating and Interior Trim Manufacturing,0%
775,721310, 1 , 1 ," 29,165 ", -   ,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",0%
846,928120, 1 , 1 ," 28,157 ", -   ,International Affairs,0%
89,311224, 1 , 1 ," 20,835 ", -   ,Soybean and Other Oilseed Processing,0%
33,115113, 1 , 1 ," 20,833 ", -   ,"Crop Harvesting, Primarily by Machine",0%
41,212222, 1 , 1 ," 20,833 ", -   ,Silver Ore Mining,0%
314,336411, 1 , 1 ," 20,833 ", -   ,Aircraft Manufacturing,0%
487,483111, 1 , 1 ," 20,833 ", -   ,Deep Sea Freight Transportation,0%
592,532112, 1 , 1 ," 20,833 ", -   ,Passenger Car Leasing,0%
1,111130, 1 , 1 ," 20,832 ", -   ,Dry Pea and Bean Farming,0%
277,334413, 1 , 1 ," 20,832 ", -   ,Semiconductor and Related Device Manufacturing,0%
473,453930, 1 , 1 ," 20,645 ", -   ,Manufactured (Mobile) Home Dealers,0%
139,321213, 1 , 1 ," 20,138 ", -   ,Engineered Wood Member (except Truss) Manufacturing,0%
289,334614, 1 , 1 ," 17,652 "," 17,829 ","Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",101%
696,611410, 1 , 1 ," 15,541 ", -   ,Business and Secretarial Schools,0%
842,926120, 1 , 1 ," 14,710 ", -   ,Regulation and Administration of Transportation Programs,0%
153,323117, 1 , 1 ," 14,250 ", -   ,Books Printing,0%
497,485113, 1 , 1 ," 13,525 ", -   ,Bus and Other Motor Vehicle Transit Systems,0%
457,448320, 1 , 1 ," 12,650 ", -   ,Luggage and Leather Goods Stores,0%
549,522210, 1 , 1 ," 12,500 "," 12,600 ",Credit Card Issuing,101%
308,336320, 1 , 1 ," 11,547 ", -   ,Motor Vehicle Electrical and Electronic Equipment Manufacturing,0%
832,921190, 1 , 1 ," 11,250 ", -   ,Other General Government Support,0%
830,921120, 1 , 1 ," 10,000 "," 10,102 ",Legislative Bodies,101%
201,331222, 1 , 1 ," 9,500 "," 9,583 ",Steel Wire Drawing,101%
410,424950, 1 , 1 ," 9,485 ", -   ,"Paint, Varnish, and Supplies Merchant Wholesalers",0%
280,334418, 1 , 1 ," 9,229 ", -   ,Printed Circuit Assembly (Electronic Assembly) Manufacturing,0%
10,111334, 1 , 1 ," 8,362 ", -   ,Berry (except Strawberry) Farming,0%
130,315190, 1 , 1 ," 8,236 ", -   ,Other Apparel Knitting Mills,0%
29,114111, 1 , 1 ," 6,255 "," 6,295 ",Finfish Fishing,101%
543,519110, 1 , 1 ," 4,823 ", -   ,News Syndicates,0%
245,333243, 1 , 1 ," 4,500 "," 4,539 ","Sawmill, Woodworking, and Paper Machinery Manufacturing",101%
785,811112, 1 , 1 ," 4,300 ", -   ,Automotive Exhaust System Repair,0%
523,511140, 1 , 1 ," 3,855 ", -   ,Directory and Mailing List Publishers,0%
705,611630, 1 , 1 ," 3,139 ", -   ,Language Schools,0%
21,112410, 1 , 1 ," 2,479 ", -   ,Sheep Farming,0%
0,111120, 1 , 1 ," 1,600 ", -   ,Oilseed (except Soybean) Farming,0%
484,481211, 1 , 1 ," 1,089 ", -   ,Nonscheduled Chartered Passenger Air Transportation,0%
204,331492, 1 , 1 , 833 , -   ,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",0%