NAICSCode,NAICSCode
111110.0,8
111120.0,1
111130.0,1
111140.0,2
111150.0,7
111160.0,2
111199.0,5
111211.0,2
111219.0,14
111331.0,1
111332.0,1
111334.0,1
111411.0,1
111419.0,5
111421.0,9
111422.0,4
111940.0,4
111998.0,14
112111.0,3
112120.0,41
112310.0,1
112340.0,1
112410.0,1
112420.0,2
112519.0,2
112910.0,1
112920.0,16
112990.0,8
113210.0,2
113310.0,6
114111.0,1
114210.0,1
115111.0,1
115112.0,2
115113.0,1
115114.0,1
115115.0,1
115116.0,2
115210.0,12
115310.0,5
211120.0,1
212210.0,1
212222.0,1
212312.0,1
212321.0,6
213111.0,3
213112.0,4
213113.0,2
221111.0,3
221114.0,5
221115.0,2
221118.0,4
221122.0,3
221210.0,4
221310.0,5
236115.0,196
236116.0,24
236117.0,20
236118.0,400
236210.0,36
236220.0,200
237110.0,28
237120.0,1
237130.0,8
237210.0,7
237310.0,41
237990.0,27
238110.0,86
238120.0,8
238130.0,22
238140.0,47
238150.0,18
238160.0,65
238170.0,12
238190.0,16
238210.0,186
238220.0,268
238290.0,19
238310.0,58
238320.0,128
238330.0,107
238340.0,8
238350.0,98
238390.0,50
238910.0,79
238990.0,221
311111.0,3
311119.0,3
311211.0,1
311213.0,2
311224.0,1
311340.0,4
311351.0,5
311352.0,4
311412.0,6
311421.0,2
311423.0,2
311511.0,2
311520.0,2
311611.0,1
311612.0,3
311613.0,1
311615.0,4
311710.0,1
311811.0,44
311812.0,9
311813.0,2
311821.0,3
311830.0,1
311911.0,1
311919.0,4
311920.0,14
311930.0,1
311941.0,3
311991.0,17
311999.0,15
312111.0,2
312112.0,3
312113.0,1
312120.0,21
312130.0,4
312140.0,8
312230.0,2
313210.0,2
313220.0,2
313310.0,4
313320.0,1
314110.0,1
314120.0,1
314910.0,2
314999.0,4
315190.0,1
315210.0,10
315220.0,3
315240.0,3
315280.0,3
315990.0,24
316210.0,4
316992.0,4
316998.0,2
321213.0,1
321219.0,1
321911.0,6
321918.0,3
321920.0,11
321991.0,1
321999.0,9
322121.0,2
322211.0,4
322212.0,3
322220.0,2
322230.0,1
323111.0,97
323113.0,43
323117.0,1
323120.0,8
324121.0,10
324191.0,1
324199.0,2
325110.0,4
325180.0,3
325199.0,3
325211.0,2
325220.0,2
325311.0,2
325320.0,2
325411.0,1
325412.0,4
325413.0,4
325414.0,1
325510.0,4
325611.0,2
325612.0,4
325620.0,2
325910.0,1
325998.0,6
326111.0,2
326112.0,1
326121.0,1
326122.0,2
326130.0,1
326140.0,6
326150.0,2
326160.0,1
326199.0,19
326212.0,4
326220.0,1
326291.0,2
326299.0,6
327110.0,3
327120.0,4
327212.0,2
327215.0,4
327320.0,4
327390.0,5
327910.0,3
327991.0,7
327993.0,1
327999.0,2
331110.0,5
331210.0,8
331221.0,1
331222.0,1
331315.0,1
331410.0,1
331492.0,1
331511.0,1
331524.0,3
331529.0,1
332111.0,5
332114.0,1
332119.0,6
332215.0,1
332216.0,5
332311.0,2
332312.0,18
332313.0,10
332321.0,1
332322.0,18
332323.0,7
332410.0,5
332420.0,5
332431.0,2
332439.0,2
332510.0,3
332613.0,3
332618.0,6
332710.0,84
332721.0,8
332722.0,1
332811.0,6
332812.0,8
332813.0,7
332911.0,3
332912.0,2
332913.0,4
332919.0,3
332994.0,2
332996.0,2
332999.0,33
333111.0,2
333112.0,15
333120.0,9
333131.0,1
333132.0,2
333241.0,7
333243.0,1
333244.0,2
333249.0,21
333318.0,12
333413.0,6
333414.0,1
333415.0,3
333511.0,4
333514.0,7
333515.0,3
333517.0,7
333519.0,1
333611.0,2
333612.0,3
333912.0,4
333914.0,2
333923.0,1
333924.0,2
333991.0,6
333992.0,5
333994.0,1
333995.0,1
333997.0,2
333999.0,12
334111.0,1
334112.0,2
334118.0,7
334220.0,9
334290.0,2
334310.0,6
334412.0,1
334413.0,1
334416.0,6
334417.0,1
334418.0,1
334419.0,5
334510.0,3
334511.0,4
334512.0,1
334513.0,12
334515.0,1
334516.0,3
334519.0,5
334614.0,1
335110.0,2
335121.0,1
335122.0,3
335129.0,2
335210.0,1
335311.0,2
335312.0,1
335313.0,5
335314.0,1
335911.0,2
335912.0,1
335929.0,1
335999.0,4
336111.0,1
336112.0,2
336211.0,6
336212.0,7
336310.0,4
336320.0,1
336330.0,2
336340.0,1
336350.0,3
336360.0,1
336390.0,4
336411.0,1
336412.0,2
336413.0,4
336510.0,1
336611.0,2
336612.0,3
336999.0,11
337110.0,15
337121.0,3
337122.0,5
337125.0,3
337127.0,2
337211.0,3
337212.0,11
337214.0,3
337215.0,1
337910.0,2
337920.0,2
339112.0,16
339113.0,10
339114.0,7
339115.0,1
339116.0,29
339910.0,14
339920.0,6
339930.0,2
339940.0,2
339950.0,24
339991.0,4
339992.0,2
339994.0,1
339999.0,32
423110.0,35
423120.0,18
423130.0,1
423140.0,8
423210.0,10
423220.0,15
423310.0,9
423320.0,12
423330.0,7
423390.0,18
423410.0,1
423420.0,12
423430.0,16
423440.0,5
423450.0,79
423460.0,4
423490.0,9
423510.0,17
423610.0,22
423620.0,6
423690.0,11
423710.0,9
423720.0,24
423730.0,8
423740.0,3
423810.0,8
423820.0,2
423830.0,41
423840.0,35
423850.0,16
423860.0,27
423910.0,12
423920.0,8
423930.0,25
423940.0,25
423990.0,34
424110.0,5
424120.0,13
424130.0,5
424210.0,4
424310.0,6
424320.0,11
424330.0,23
424410.0,16
424420.0,5
424430.0,1
424440.0,1
424450.0,7
424460.0,6
424470.0,3
424480.0,5
424490.0,18
424510.0,4
424520.0,1
424590.0,3
424610.0,3
424690.0,10
424710.0,1
424720.0,8
424810.0,3
424820.0,6
424910.0,5
424920.0,3
424930.0,8
424950.0,1
424990.0,25
425110.0,2
425120.0,65
441110.0,78
441120.0,79
441210.0,4
441222.0,15
441228.0,13
441310.0,39
441320.0,14
442110.0,37
442210.0,33
442291.0,5
442299.0,24
443141.0,6
443142.0,23
444110.0,11
444120.0,5
444130.0,24
444190.0,32
444210.0,8
444220.0,33
445110.0,112
445120.0,111
445210.0,14
445220.0,1
445230.0,2
445291.0,17
445292.0,8
445299.0,28
445310.0,60
446110.0,32
446120.0,73
446130.0,27
446191.0,13
446199.0,45
447110.0,86
447190.0,12
448110.0,27
448120.0,47
448130.0,4
448140.0,30
448150.0,35
448190.0,43
448210.0,18
448310.0,62
448320.0,1
451110.0,52
451120.0,22
451130.0,9
451140.0,14
451211.0,12
451212.0,3
452210.0,3
452319.0,27
452990.0,3
453110.0,38
453210.0,6
453220.0,37
453310.0,26
453910.0,21
453920.0,16
453930.0,1
453991.0,25
453998.0,348
454110.0,34
454113.0,1
454210.0,16
454310.0,5
454390.0,100
481111.0,1
481112.0,2
481211.0,1
481219.0,5
482111.0,1
483111.0,1
483114.0,3
484110.0,189
484121.0,113
484122.0,15
484210.0,20
484220.0,28
484230.0,27
485111.0,1
485112.0,1
485113.0,1
485119.0,1
485310.0,609
485320.0,31
485410.0,10
485510.0,7
485991.0,21
485999.0,82
487210.0,5
488119.0,2
488190.0,4
488210.0,1
488410.0,16
488490.0,23
488510.0,58
488991.0,1
488999.0,29
491110.0,2
492110.0,138
492210.0,130
493110.0,16
493130.0,1
493190.0,2
511110.0,18
511120.0,10
511130.0,8
511140.0,1
511191.0,2
511199.0,6
511210.0,32
512110.0,45
512131.0,5
512191.0,5
512199.0,4
512230.0,9
512240.0,9
512290.0,6
515112.0,10
515120.0,6
515210.0,3
516110.0,1
517210.0,3
517311.0,1
517312.0,11
517410.0,3
517911.0,16
517919.0,28
518210.0,22
519110.0,1
519120.0,2
519130.0,11
519190.0,14
522130.0,1
522190.0,1
522210.0,1
522220.0,26
522291.0,5
522292.0,8
522293.0,3
522298.0,10
522310.0,12
522320.0,25
522390.0,6
523110.0,10
523120.0,15
523130.0,2
523140.0,5
523210.0,2
523910.0,8
523920.0,21
523930.0,190
523991.0,3
523999.0,70
524113.0,13
524114.0,19
524126.0,9
524128.0,6
524210.0,369
524291.0,9
524292.0,8
524298.0,51
525110.0,3
525120.0,5
525190.0,2
525910.0,2
525920.0,2
525990.0,9
531110.0,152
531120.0,62
531130.0,13
531190.0,41
531210.0,420
531311.0,132
531312.0,24
531320.0,20
531390.0,158
532111.0,8
532112.0,1
532120.0,5
532210.0,7
532281.0,1
532283.0,2
532284.0,6
532289.0,21
532310.0,5
532411.0,5
532412.0,16
532420.0,11
532490.0,9
541110.0,718
541191.0,12
541199.0,86
541211.0,146
541213.0,63
541214.0,21
541219.0,128
541310.0,91
541320.0,33
541330.0,108
541340.0,8
541350.0,20
541370.0,9
541380.0,15
541410.0,56
541420.0,10
541430.0,108
541490.0,75
541511.0,106
541512.0,72
541513.0,12
541519.0,57
541611.0,188
541612.0,29
541613.0,178
541614.0,28
541618.0,148
541620.0,44
541690.0,57
541712.0,1
541713.0,5
541714.0,19
541715.0,15
541720.0,9
541810.0,77
541820.0,14
541840.0,4
541850.0,2
541860.0,6
541870.0,6
541890.0,60
541910.0,9
541921.0,103
541922.0,30
541930.0,12
541940.0,55
541990.0,234
551112.0,18
551114.0,4
561110.0,58
561210.0,9
561311.0,43
561312.0,16
561320.0,33
561330.0,3
561410.0,3
561421.0,7
561422.0,7
561431.0,8
561439.0,11
561440.0,122
561491.0,4
561492.0,12
561499.0,93
561510.0,34
561520.0,11
561591.0,2
561599.0,6
561611.0,22
561612.0,21
561613.0,1
561621.0,38
561622.0,12
561710.0,12
561720.0,221
561730.0,357
561740.0,44
561790.0,57
561910.0,12
561920.0,9
561990.0,56
562111.0,5
562112.0,1
562119.0,8
562219.0,2
562910.0,10
562920.0,3
562991.0,5
562998.0,8
611110.0,69
611210.0,4
611310.0,9
611410.0,1
611420.0,2
611430.0,25
611511.0,25
611512.0,1
611513.0,7
611519.0,8
611610.0,54
611620.0,98
611630.0,1
611691.0,31
611692.0,8
611699.0,60
611710.0,94
621111.0,509
621112.0,90
621210.0,429
621310.0,200
621320.0,82
621330.0,93
621340.0,128
621391.0,26
621399.0,179
621420.0,24
621491.0,3
621493.0,9
621498.0,51
621511.0,19
621512.0,14
621610.0,110
621910.0,11
621991.0,1
621999.0,36
622110.0,23
622210.0,4
622310.0,4
623110.0,46
623210.0,3
623220.0,6
623312.0,21
623990.0,7
624110.0,49
624120.0,31
624190.0,51
624210.0,16
624221.0,10
624229.0,9
624230.0,4
624310.0,4
624410.0,270
711110.0,27
711120.0,36
711130.0,49
711190.0,32
711211.0,17
711212.0,4
711219.0,10
711310.0,21
711320.0,25
711410.0,20
711510.0,145
712110.0,28
712120.0,8
712130.0,3
712190.0,5
713110.0,6
713120.0,9
713290.0,1
713910.0,26
713920.0,4
713930.0,10
713940.0,263
713950.0,38
713990.0,60
721110.0,192
721191.0,11
721199.0,44
721211.0,9
721214.0,3
721310.0,1
722310.0,146
722320.0,146
722330.0,61
722410.0,153
722511.0,1212
722513.0,428
722514.0,11
722515.0,58
811111.0,316
811112.0,1
811113.0,16
811118.0,28
811121.0,88
811122.0,13
811191.0,4
811192.0,24
811198.0,45
811211.0,13
811212.0,22
811219.0,14
811310.0,58
811411.0,5
811412.0,19
811420.0,12
811430.0,6
811490.0,38
812111.0,216
812112.0,895
812113.0,190
812191.0,9
812199.0,161
812210.0,41
812220.0,8
812310.0,24
812320.0,51
812331.0,4
812910.0,100
812921.0,3
812930.0,8
812990.0,278
813110.0,392
813211.0,14
813212.0,9
813219.0,32
813311.0,5
813312.0,12
813319.0,24
813410.0,60
813910.0,27
813920.0,15
813930.0,7
813990.0,18
814110.0,7
921110.0,2
921120.0,1
921130.0,7
921190.0,1
922110.0,3
922130.0,79
922160.0,4
923110.0,26
923120.0,2
923130.0,1
925110.0,7
925120.0,2
926110.0,3
926120.0,1
926130.0,1
926140.0,2
926150.0,3
928120.0,1
999990.0,83
